l7GQ-fR-DsA	tea
OF-9aiQTAfM	Hanuman sign 1
zSGR1KaSZV4	Hanuman sign 2
pKb4DHICBuo	happen
cApvRkBL8e0	hard disk, hard drive (sign 1)
sMdon0OffjU	harass, bully
p9SdpeHMkZ0	happy
1SkZMNfDITQ	hard disk, hard drive (sign 2)
WISR3HEeKgU	hard of hearing
vB-4jZVx0yU	hard, solid, rigid, inflexible
6nKQbhX9QHo	brave, bold, courageous, strong
lsp2o-yBY10	Brazil
MNCeezFR_YI	bread
tZ3oGQh9Uqo	Break a leg
XeH2cAIz9as	Break the ice
P58pF-HenyU	break, pause, time out
eRr2PaNsu9U	break, sever, split
LeRzzzBBsmU	bribe, graft
O2_3lA8kVVE	brain (sign 3)
DQg2gfZHQ_0	branch, subdivision, classification
doWXendPFc0	bowl (sign 1)
sj8kYLtXNZU	bowl (sign 2)
0lrX7s_3ScY	bowled out (cricket)
oRJn3LprR4U	bowler (cricket)
OC7HHIF25ik	box
s5AMrNjoP0Q	boxing
T8g7H3Ie5YU	boyfriend
Idb2wQQ85ho	Brahma
OELaDZo5R7I	brain (sign 1)
x7SV2p_-rPE	brain (sign 2)
ONhI6iem9kg	hat
EE1cuwsn1IY	hate
RorIn-P_3DI	have
lLd__AgPs98	he
sWKP1r9ykRQ	head
kusWSSN4xjI	boss
RpLX2iGqahI	both, couple, pair
Rc_b4h5nFqo	bottle
HLngaK2mDAo	Bosnia-Herzegovina
iqlb1r9YIAc	born
ED_25-_F0MI	bookcase, bookshelf
R-IpftpYr2g	bored, uninterested
jLr6GA-anhg	bone
iCZL3lk119A	book
AApcKicSfHU	Haji Ali Dargah
39tZrKjvdQM	hard, difficult
NjT3zasZLP0	harmonium
Bl_SheTtSt0	body
WDHSvLNLkdM	body piercing
c5txohM_Pv8	body parts
zHuGuas_2f8	body pain
xD3S5OUhSRs	boat
LdYbstdYCR8	BMW
syeNmftfElg	bluetooth
Ykt6OXbw1q0	blue
n9F3-JF1Dug	blouse (sign 2)
wPsIxhPHXBo	blouse (sign 1)
ouqUEVpF0v4	guide
nIYd_DTmgOA	diabetes (sign 2)
hfmljrmlZ6k	diabetes (sign 1)
7FcFS0hXehs	100 hundred
_z-Ry3er2_k	blood
-JcpfOHc0nE	blood pressure (sign 2)
WSEFp-h4Vk0	blood pressure (sign 1)
gLH8E10Xex8	blocks
GZagTSm_qhM	blinds, shade
KhHs-1AePDw	bless
c4Nn0I-C4gY	blackboard duster (sign 2)
GlsK0Ejjyhg	blackboard duster (sign 1)
bz6nldNgnjU	BlackBerry
VMsWda7pWZA	black
mRodiqQBduE	bitter gourd
N0bpk_dzCuk	bite
EREEJ9_rFgs	Bite the bullet
50A9vnIaQNE	biscuit
T41OsrviQCY	birthday
mKxgmzevEio	birds
jTfDQvOdKU0	Birds of a feather flock together
xTQHYVNuH2I	bindi
kAIC79Ubl_g	bill (sign 2)
TPdAyuJYQtE	bill (sign 1)
AJyoUbv1lzs	bilingual
ldoR2f3W4co	bike, motorcycle (sign 3)
XAvOgSgdGDA	bike, motorcycle (sign 2)
wx8pMHRIYho	bike, motorcycle (sign 1)
RjDvvpbDcHk	Bihar
BFYTOi2N1w8	big
W6k4SdELuOA	bib
GZq28EIBmQs	good (sign 2)
5_XwDbt8TGc	grass
Iqjt_znBgeE	gas stove (sign 1)
JUMBB2W1Q94	glue
E4hL5jUFwCk	gloves (sign 1)
jZ46cqBrg3s	granddaughter
1ULJICYKp4E	grammar
UpDvz4TFXuY	garlic
vtVQ-YBoKGY	grandson
vj85ZSkQDVo	girlfriend
l_iVlaZg-so	glass
L37McuHckSI	Good morning
ezucq9E_nvs	gossip, whispers, idle talk (meaning)
jFdwRqDDa_Q	green bean
s-570A5kLxo	goat (sign 1)
MjpLTSPr4o0	Give someone the cold shoulder
svQ3jUcN4f8	Goa (sign 1)
03UqtTd9opc	gol gappe, pani puri
F_Bi2czPDcc	greedy (sign 2)
6kVsL2YCP7I	grapes
L4q4_7OOznw	Goa (sign 2)
E8uf2VM3KCo	get
aQEJlg8RhXQ	good (sign 1)
Ack-_RirE4k	Go back to the drawing board
KN6wMRGjxGk	government
lquuC45v24M	Golden Temple
zxwuZPkYjrQ	Good night
oH1yvkXOQ6w	gram
06lnhzFJMgo	gossip, whispers, idle talk
n2Yyy3BkMjk	ginger (sign 1)
IOcKAmXpVUA	Gionee
3y-nQO6e5iQ	Go Air
zEAcP-DeGT4	Give someone the benefit of the doubt
XE2bfzfoTro	golf
9BMHwqCSjag	Georgia
DNVOzTx47ew	gas lighter
wedIVeQMY1k	girl
RqddJENqoOY	go
ZEOITP9Urts	goat (sign 2)
e7LFVgiUCr8	gloves (sign 2)
cHTrAwUZtNY	ginger (sign 2)
2GS4eJRYIi8	get up, wake up
U4zeXOlfF2c	gift
9c_bONRs12w	geography
PLtRFkjPkxo	genius
3vAxsFOJdVo	Germany
mUeSvl1T5Sk	Ghana
Ne3TLfTGZwo	Get out of hand
U5KcZNFATFM	garden (sign 2)
_8BciHWrpOA	genuine
DxotcbkEnMY	general secretary
3bAW9KtLSXk	gardener
mDef1KqeBTw	gate
t8z3PzQKmwg	gas stove (sign 2)
88cVTMvw2fw	garden (sign 1)
XT42tl2wl_4	general
kV7Oo7D26Gw	Gandhinagar
zLxJPYBRIEM	Garib Rath Express
OU-XIIEFnw4	garage
v5F3fOpfrBI	Gangtok
16P4ngMXeLM	4G
Dr99eNeltzU	3G
P2OKqOpct8s	grey (sign 1)
SYlMAasD3Aw	extra
MB7HhOsEvxk	expiry
ooGQLLL-8RQ	experiment (sign 1)
xqWx6o5iue4	express, convey
Mqa0sDOMArQ	exercise
Hkv0JPEwiEE	explain
XDSaCZLa0o0	Express Train
UyuuFpV2QCg	extend
Ystk7l_FXfM	expert, specialist
r8-q53AmmMg	extinct (sign 2)
xu3e-IU_xRM	expensive
DJzxcG2JLTA	experiment (sign 2)
fCd20l7-3Mo	extinct sign 1
B0JKoyG_q0g	eyebrow
w0Z2yfGcCW8	eye
I3_S8sTuQT0	deputy director (sign 2)
0C-nMsdpftw	designer
AgB-ICcX7Fg	Egypt (sign 2)
o_ebrgyrnuk	egg
M84ritBmcTE	Egypt (sign 1)
x3H9ltkR_vM	El Salvador
2oHjc0njDdo	election
f-uyGiFPPTo	electrician (sign 1)
XVoGUfRZqHo	electrician (sign 2)
A-DmE3OOAfU	electricity
LlpSiou4X7w	elephant (sign 1)
kU3ISrjeygE	elephant (sign 2)
_7E0eolOh4c	elevator
1w_bYsmoFKA	email
kA8JbsFi4dI	embarrass (sign 1)
bq2QpJpjWUs	embarrass (sign 2)
oNRtJ5PQ4NU	emergency medical technician
hnwJMWsU8tg	emergency
bMY7k6ug38E	emphasize
W5RDOklZQxc	empowerment
UOCJkoSjr9w	end, finish (video, movie)
yebEzbBOQl4	encourage
jvJvFTBSXuw	economics (sign 1)
n-1noAwKg1w	economics (sign 2)
t6qqXzf4tq8	edit (sign 1)
fB6rpU-9SSU	edit (sign 2)
sX9zUwVdKmI	editor
C0znUIY2osY	east (sign 2)
2Tka3BEG0dA	Easy does it
QEKQr_KeKe4	easy
Cgs1MibMXJ0	eat
65whLEBzOCw	e-book
SewBqDY49qs	eclipse
aXX2ysgHZTA	east (sign 1)
_tx2iiQNlZs	earthquake
F7wUQReGNEw	earth
3jg1TpRzkGs	ear
gnMQXat5V9I	eagle
2oYEEIt4HFs	each (sign 2)
3t63THdE5wM	each (sign 1)
kfb__18uzpw	18 eighteen
1-Zz07NcsKM	11 eleven
l_QL6DBEeFk	8 eight
RVEky1JFtBg	endure, tolerate (meaning)
GcR4QYxAdmY	enemy
cfPvMQAbTy8	engagement
fI7cp68IaQU	engine
1vPiHLNlbBw	engineer
N9JQMzE7_DI	England (sign 1)
D19X5MhzZcE	English
T976ElYJ-qY	enjoy
vM9tngFYH1c	enough (sign 1)
vPAwEcpbWqo	enough (sign 2)
6v_d76h7Axg	envelope
Gv8Q72yX4Yk	environment (sign 1)
5NyBQ0If_iA	environment (sign 2)
_gdCYZeEcTY	between, in the middle (sign 2)
tnMi73_WfPg	between, middle (sign 1)
f9rCwRfIxKw	better
LlAJbMbtUyA	Better late than never
_deTkHwvwhc	best (sign 3)
-oJL0D3n2e0	best (sign 2)
TRgM0lzJs-4	best (sign 1)
WOUQtem-BE0	Bengali
SnUlY4XhAG0	benefit, profit, gain
MpOh9MQvWbY	belt
Tf97LjJhrMU	below
Pu9zSjEsqnk	bell (sign 3)
xwgkeViNOwI	bell (sign 2)
otXF356rVzQ	bell (sign 1)
tPNg2Waa57k	believe
_lF0BZafFlw	Belgium
TtNpydFV6rI	behind (sign 2)
zHSDpV4Ok2Q	behind (sign 1)
M5d-xq3xJi4	behaviour, conduct, manner
1aZYCh3HDZY	before (sign 2)
pwmFabvAS3k	before (sign 1)
PKLiUylI7jY	beetroot
BWKieNmLY2c	beer (sign 3)
RfTlPy0yoLg	beer (sign 2)
R_GaklgD4bY	beer (sign 1)
aCaG3G4PAkQ	bedroom
pxP6gH5pazw	beautiful (sign 2)
QJDOHjM9eb8	beautiful (sign 1)
5vj022EoOLA	beat, triumph, outdo, be victorious (sign 2)
hG7jqJgpYzI	beat, triumph, outdo, be victorious (sign 1)
zE5flYdW0w0	Beat around the bush
DCH3d-S6BlI	bear, endure, tolerate (sign 2)
W0VSNIUgNVw	bear, endure, tolerate (sign 1)
f49RmUp0qqQ	dhoti
gKN3BC-U3d4	dholak
pu9ff2Xvfy4	dhobi
0qDR-9wAiXk	diesel
g8H6NFJ8o7w	dice
3DSsRKPkiGI	diaper, nappy
Pz9eIPXF6LQ	Usury
cBtN1DlLXAs	different
-a0-goHN-rQ	dinner
ug0cTrsjK50	direction, route
f-buhqEDiZ0	director (movie)
A7Z8eaNDLGg	director
Roe3st2xwgQ	disability
34WMjwYFdsI	disagree, dissent (sign 1)
bouFPfGo6UI	disagree, dissent (sign 2)
aF7X0ClwZVg	diet (sign 1)
HuPD22JS5QA	diet (sign 2)
E4rnCudFi8c	disappear, vanish
TkREyqdJoCI	discipline
Zc9o_U0ilpU	discount
BPEbby3LaMo	discus throw
1IZPvJn7an0	discuss, confer
aFGQehtPlPc	disease
VqeazWZzEp4	disobey
ov-SGBORI6Y	disrespect
_HPV8-2Xdx8	distance learning
VCDSOi8Hix0	distance
x1S_tnc_djk	distribute, allocate
lOvFBGpn0bQ	district
_WDeSbXAV3w	divide, separate
HIZYnYZpipc	divide, split, segregate
0FHckg-WrEo	diving
SOMg4XV_dEY	Diwali (sign 1)
QJDAMIo3A6Y	Diwali (sign 3)
t7t7Jioxeu8	Diwali (sign 4)
Mr30rM7vf4Q	dizzy
fiTyNgucpYM	do
pNiWeRZM59o	document
7O43NW_PICc	dog sign 1
HTbNR5mBC3E	Cut corners
y_q_egfFoq0	crowd, horde, mass, throng
3FhNDV9UDzc	cruel, brutal, inhuman, ruthless, cold hearted
u6hpIkJUQXE	cruel, callous, harsh, ruthless (sign 1)
SyRmYT523cU	cry, sob (sign 3)
cKkCZ_GYpkk	cry, bawl, scream
vSEUaTn35j4	copy and paste
Qb3nTAfOz2Q	country
mh7hK_GB1yQ	cottage cheese, paneer
CKkHv_YeHWU	corn
oZ6x75IBNj8	course, programme
BdQCN4niLds	cooker
0n_FeKAXjUI	control, manage
CjL55F1EpNk	contract, contractual (job)
tnQmQCzJKfI	continue, carry on
57wK5eB74gw	consultant
Kx46yWsDfrU	construct, build
E79Kez92aqs	constant, continuous
870f18p-XdE	conserve, preserve, save
OJqZgTGpghQ	contract, agreement, deal, pact
Csudbq04CV0	cook
QIaK1zBDLkE	Cambodia
E7ASHBd0kDs	Canada
uYfcQkRSvAY	China
ZM95iphl6eM	Chile
rufhjKU3UII	Chandigarh
o-Y-aBPo_xw	Armenia
cmFVOsYv2Nk	Argentina
_GG3jvZWj_4	chikoo
UK3lCFwSt7A	chilli (sign 1)
KnE_y9wziOc	cherry (sign 1)
Il9Z5pMnfDo	cheque (sign 1)
mJz4mKTtt64	cheap (talk, behaviour, etc)
eAFoZUaOwac	chickpea
NGfUhD-kG1M	change
Miw0xZr0diU	chapati, roti
dRZkuKTLcis	chief minister
Kt4-ijSTM58	chart
zWdWqozClE4	chef
6y6ylBP0yc8	cheque (sign 2)
bFEz8r3xfMI	chalk (sign 1)
HE7cOw_O6cA	century (meaning)
pcMAg0w93W0	cell, mobile (sign 3)
daRWg-gnW7M	chalk (sign 2)
f06TttdeYNE	centimetre
TkZ8qS_TIXk	cell, mobile (touchscreen)
F1AvK4jxMuA	almost, nearly
Zgmvl6IgXuY	Amazon
3Y7KPnUv9kA	animals (sign 2)
JHK7flaSzzM	applause
1kJrmgJ0EMs	All India Foundation of Deaf Women
um4s1H6JPJg	call
AQ_ba6r2-YM	carpenter (sign 1)
Ps4VoPyMAb8	baseball
_jbbOFSVFyY	basil
8r5QmLFv9Jc	bath tub
ZwVF0XfVD7I	bath (sign 2)
5rku2NSGq94	bathroom
-UjDGBnJuQE	basic (sign 1)
xY-hLKnjahw	calculator (sign 1)
5JrVqdElpw4	cabbage
YufUJ48avIM	All India Federation of the Deaf
bdHi2Gyruqw	calm
N0QNiLrVGl4	casio
37i_Xt_w0Rs	capable
w49chg-Y92g	cashier
EkK_DEi9vog	cell, mobile (sign 2)
JYvB-eiJP-I	catch (a person, a mistake)
p0IHOoCCGNU	carpenter (sign 2)
Py0R_2XywOQ	capsicum (sign 1)
64Cdgzetaxs	capital (sign 2)
rKDZTG2rFPs	capital (sign 1)
A7GtKqvxPNA	can (sign 1)
yi--S0oh64s	careful
BI57SSk_cGU	cartoon
9pEAebpmkS0	carpet
wVgslraD204	cap
Cz3KCbolavI	camel
UMMYGhp1SD4	carrot
SUGgjeP54CQ	car
wubfL2VbBLY	cat (sign 2)
-kAnMQUsNqY	cancel, call off
h8cX3gzzey8	cell, mobile (sign 1)
Y0ObDf8ZmJ0	celebrate, enjoy
9BvwAQ7c9-c	CD
mUes7TvTZ0Y	catch (things, example, ball)
TJQdtS0Dkyw	category, classification, group, section
h8PX8tmC6D0	cave
YGISt7qQBCw	catalogue
ArcfZOVJyc4	carrom
zaCXh7eQO2Y	cash, notes
G1kA8fiQM3Q	cartoon meaning
Rc4vFhGRgIs	cat (sign 1)
kjF2AUzUKO0	capsicum (sign 2)
Y0JhQ12-JVE	careless, negligent
s57mcqROvtA	capital (finance)
bp9mzPexxVY	carpenter (sign 3)
DAhaM4E1wSM	candle
M5ML0oF4VzU	can (sign 2)
W1JjuXkqfyA	canteen
GNigEuAKJt0	Call it a day
MBJe-opDrVg	banker
fmW1matLfhk	barber
uSz2hrQZr3o	around (sign 2)
TLN5DkTzcX8	argue, dispute, quarrel
gzlymlA-sW8	around (sign 1)
c6-NB5Yrrdo	arm
3HMUM-9pQj0	archery
tY7LqqsBV5Y	archaeologist
I_TQyqgYvoA	area (sign 2)
qXV1KRvMA-Y	approve (sign 2)
S21lcUrY_pM	approximate (sign 2)
r7VLa40tjvM	area (sign 1)
sPzCUfCMJH4	April
xgU5S08eD90	approximate (sign 1)
rpMNq0nFlUQ	approve (sign 1)
acdKVU7bbhw	appointment (sign 2)
S9wg2vb8-Aw	bandage
UOktZawGna4	band-aid
cNL6z2IayOU	Bandra to Worli Sea Link
GYVZ3VpzJRI	banana
YcTowX_Es6E	banana tree
apdZVZdwz54	ban (sign 2)
MZsQzU7tOfs	ban (sign 1)
TrCMG8Jm2_c	bamboo
wzz6Gt0EotA	balloon (sign 2)
ndCTFD1P_qo	balloon (sign 1)
3SIXJfwYlFw	anniversary
-qhN2FaYkUc	anonymous (sign 2)
zw53Xl_e9QA	ant
buBZGkwchow	announce, declare, release
QlEKJLgEWMg	amount, quantity (sign 1)
5xmJG9zQ9jw	alive
VBM4ss11k-k	anxious
50jD8JNDy1s	already (sign 2)
5y3eMNykOsA	apartment
nuYcIMq8e5U	apple
N2GsWA1smG8	amazed
zlGi_SB04cI	analysis
uBi-YX42NwI	application
upAZkdtoF_Q	app
DbDsfmhI-U8	all (sign 2)
i4rgDyw5mc8	applicant
iWpgiYUT23c	always, every time
MTAoneZNzeQ	allow (sign 2)
c4HojUA2FGE	appointment (sign 1)
NNAmDtu46B0	all (sign 1)
BMzjPIvzVfU	answer
f6ncKQ2HlJs	anonymous (sign 1)
1XFe7SCIQKw	anonymous meaning
vXg5mjo2Lpc	any
c26UiFPMTcw	annual, yearly
bacheB1uzFE	alphabet
OjJ2Vu0k5d8	animals (sign 1)
9qLTvYXHLdU	amount, total (sign 2)
FxpR_7U84nQ	ally, allied, alliance meaning
jc2G1aW5DQU	alone, solo
fAjax7qngzk	allow (sign 1)
Id-oKWnrMao	balcony
BSJyINZgfWY	ball cricket
yjnm43fEimY	ball
G-xw6dwoiBc	balance
RpZGZHEgtYI	bake
LY6maLw5JZg	Bajaj Bike
yqRuuOhG1Cs	bag
aTp3Y4ABxB4	bag, sling bag
xghJ6vKFuKQ	bad language, verbal abuse (sign 2)
GGK97cywvBc	bag, backpack
eJ8Brka8TKw	bad language, verbal abuse (sign 1)
9uSE_BJx1Po	bad (sign 2)
LKyBt6Px1Uc	back
l8lwU4wIOz4	bad (sign 1)
zgQAKKtXOZY	background
ffJgebjRuvo	alike, similar
cj56UIvObV8	back, return (sign 3)
0Kcn-1OPd84	back, go back, reverse (sign 2)
TDlj5kHwiTk	back, behind (sign 1)
a3ZwnyHdlGI	cage
rRVnNmQOR-I	calendar (sign 2)
lYS6WVGPAWo	calendar (sign 1)
p9bBKmmXvkY	calculator (sign 2)
8EF9j5VqHzw	calendar (sign 3)
1wmnjSPpUHs	calculator (sign 4)
Azhplpvwi6Q	calculator (sign 3)
GiOVSFEP2UQ	call (phone)
WYEvZx_EaEo	Akshay Kumar
xoSQfP-1A-c	Ajmer Sharif Dargah
PqxgC356hdw	Aishwarya Rai Bachchan
kdMxj-h-rRs	Airtel
zbxW8XnyziA	airport
ubBmCChM6Ag	AirJet
zvhxuidq68g	Aircel
-xNmG6y1-9E	Air Vistara
VhB51KKUi10	air pollution
4xykTArwSSg	Air India, Alliance Air
1Ih8aIET1t8	Air Deccan
-03Dju3yPHE	air conditioner
eJ5kLxC1ViY	air (sign 2)
VdR3IR0wqDY	air (sign 1)
F_ssKRakSBs	aim  target, goal
QtR5-M2w3RQ	agree, concur, consent
5anbkZmuIaQ	age
HNF-z7j8p0A	again, repeat (sign 2)
aO1B2sAfigI	again, repeat (sign 1)
t729MGitv94	again and again, repeatedly, over and over again
rvjY9vlX_H4	afternoon
fQcXVe8_ZLw	after
1wTikbR4vsE	afraid, scared
y7FUr6B4Uh4	affect, impact, influence
7-U7JLrcGHo	aeroplane (sign 3)
A8fPXgxSQ-k	aeroplane (sign 2)
HqEam06JRKo	aeroplane (sign 1)
dnl45S16tjs	advocate
Q7wCb9WlhA0	advise, counsel
n0ixnjHqfAU	accept
z-ke4RyMx_w	accordion
fFrKd1qI9ZM	address (sign 1)
Lq13Nl5Ps58	abacus
Nqh6_B0gfec	adopt
PvzM89FGSp0	advertisement
Ykv_2L4-7RY	accident
hKT6dEhxTAE	active, energetic
jYlNFP_BxsU	Actions speak louder than words
jGIwLZTt9ZI	accompany (sign 1)
5xpCpxYgLGg	accompany (sign 2)
HwgChfSHtlI	a lot
puQHunAHML8	advantage
UKcMoQ0mJDw	A penny saved is a penny earned
46-lhzhJf78	admire, commend, praise, appreciate
aCW5vMnjQvo	Aamir Khan (sign 2)
g9R8d7G2MuY	adult (sign 2)
oJUjrqXkdjs	add
lWnmHMNS06E	add, more
ODNZ6nd7uls	actress
Cd0f7fvtGTg	absent
zQPvKggyt48	A dime a dozen
_a81r3Cftzk	able, can
Oy09VfmP5sQ	action
P2abspkSU_s	able (meaning)
SFUS_db3obA	A bird in the hand is worth two in the bush
Jm2j6rZhGXo	delicious
ZrPL-xKnDfk	Degree (range)
6YLxdNCHGpg	Determined
8A3qKZoz1ik	Degree (certificate)
rdW1Snzd9cs	Deceive
qFfaDK70Jvc	Decide
E2-FY4q-Kbg	Debate
YGPgejLrILM	Date (fruit)
sSvBHFI6AOk	Date (when)
aK_immPV5TM	Data, information, statistics
YFrtVUeFoe4	Danger, hazard, peril
4onhprzwUMw	Daily, Everyday
pAo8Zc96Tu8	defend, shield, protect (sign 1)
x5VIvDZhXNg	Angry
WxO_mDkSqi0	Angel
B71wV1k7n4M	Ache, Pain
r3HsR87-sN8	accuse, blame
q_HxcWofEZU	Allergy
LG9lvVHK-xA	Aim, Target
cdg2loc35vs	Agree
rBi-dpJFZuA	Award, prize
NT-LpmJHMcw	Average, mediocre
pcszWYZUdr4	Audience
GjY2iudi9lM	Association
Owp1cwVnCok	ask, question
d0SGtxOqFpU	Arrest
uRwmFRKMF58	Army
hL5w2l57g9k	Annual
gCFab9coHrU	Accessible, Accessibility
EzA7vpG_mnw	Kitchen
c8QdJkQk-S4	Absent
yuo_oeBoTKk	Upset
CD7q4E7thng	True
0_3gIUNTp8U	Translate
oXDA73D5WAM	Try
jZgU5rsfZ4c	University
-rahbCV2Pp4	Understand
l7tvPoyzWRI	Art
JFVB97UDh6o	Category
8G5NgkTRK8s	Capital
tjA2aFyBuY4	Adult
UbQHwZHQSRM	Alternative
iayx3bt-0Rg	open (sign 2)
B6UQh9WuYAY	Once
wIi5NVKOOfM	Strict
wK8amEJAK1Y	Thank you
uNZ-A9bIT2c	Vehicles
s5mQsATayMM	Approach
_lArEvKP43c	Authentic, original
2L_H8HYM5hE	Accounts
juYkSGK7Few	Everything
23kjqyecBwE	Fine
DBUTlAHjWlI	Fine (Punishment)
HZKmJZ3VpIg	Fashion, Style
iP15-5bXA-k	Collect
Wv59G4v5X2Y	Colour (sign 1)
rJbc69qxPDA	Colour (sign 2)
iZgNcu2HzzE	Factory
zaGjEBwl--8	Ethics
TXA5pIG0jEM	Expensive
7S1IJ8OrInU	Escape
NbG_5zEsSoE	Express
Xf0NPEArdgY	Equal
IO0nQfhpxh8	Education
779eNGeW_Fo	Draft
78hb7LPYmDU	Divide (sign 2)
8L3-sQV1BmU	Divide (sign 1)
sLLQkt04ZiQ	Drive
KRnfvBZ_V14	Doubt
tY45mTvKGKc	Double
U8TyoD2LxLU	Dictionary
9BJ5ZQixW34	Die
icjDmpATHwE	Draw
dOPSYCZ4mfU	Dustbin
N4NevefkpsQ	Cycle
wK7Y3bBPwtI	Curd
XI4MKE3j4no	Communicate
VC_lTWT1HXU	Right
37bLyyxKZKs	Punish
8edWFVV1lo4	Projector
N51UnxHrRZg	Process
CmAtK2kV6GY	Pray
ZU74gADGVD4	Practice
His11C0YFps	Picture
2dd7JFwQPh0	Permanent
8I4sK9g2t-4	Perfect
8gAE5cho4ck	Office
96JTPuAvmno	Hard (sign 2)
c9D91JO8O0w	Manage
WaYyPwTPsY4	Hug
yZlMisXPUms	Humid
bDA6y9S2bb4	Hard (sign 1)
xm2Vju9w0-I	Hotel
UMS2IJZt6To	Free
7DwXOsZG5p8	Full
y-rA7UuFbVM	Available
DpoUiyIlk2k	Forget
v4dtaEki4f8	third
r99WfHTRr2A	think, contemplate, ponder
F_es2B9Sgo0	things
dxoUqsSHx4E	thin, skinny
1j6zk5-ngJo	thief (example)
7qLPwuH3tVw	they
p7L6g9YzTVU	thermometer (sign 2)
uuzch67c-xE	thermometer (sign 1)
ZIKWlQUff9c	there
7nTC398KiPM	therapist (explanation)
P_o20L8zhHU	themselves
HjQ5ftX3H1c	theirs
L_3rgd9YOVA	The last straw, The final straw
wbv4nSQCMVY	The best of both worlds
AEfFAtmkt6o	that
-4MbWP5T-cU	thank you (sign 2)
Yz4vZ5ALDfw	thank you (sign 1)
N62iv94HI18	Thailand
hga2Zs6wmWw	tension
izdqbJ_kMkE	tiffin
y3ck7KPhSug	tie
rmgyo8yyqfo	ticket
iKNbZ_6pB5c	Thursday
q6RWNvLf2kA	thunder
autuHm9_jWo	throw
Bc5uO2zRNJA	throat
jn-vHteHdA0	thrice (sign 2)
5smQtXAYAKM	thrice (sign 1)
lkXLuq4RHCc	three days before
MPCAeXe2E0c	three days after
xjCStYhMoBE	threading
Uz_wWiAtIUY	thread
hnIlCRz665c	this
at2bDwxeV3c	tight (clothes) (sign 1)
_JhAFFdTuQk	time table (sign 2)
l74MrarGqOk	time table (sign 1)
96gscoBKIzM	Time flies when you are having fun
bI019MZru3U	tight (clothes) (sign 2)
L2Kvwf8SEvE	transparent
qpNvq1zrIuc	transparent (example)
XMtMf2GRxxk	translator
vzR3201tHPY	translate
Hh69480i03w	transgender
wDy5hBdrwoc	train (sign 2)
X6ZfXYmVdZY	train (sign 1)
X6ZfXYmVdZY	train (sign 1)
DXj1A4BNsQg	traffic
dQs0quEuTls	traffic lights
R22GF3-wqUY	traditional
ZM0n1zjza48	trader
x7TnEHc0viU	tractor (sign 2)
CbscRBBGtT8	tractor (sign 1)
MKSKluySI3E	timid
nuVE-pwIDNM	time
pU-6WzNOsuc	tolerate (sign 2)
JLwyU0Pd35Y	tolerate (sign 1)
O9ZwfYTIETI	together
BAuCEJ4uKgE	together, collectively, jointly
UYYmJtinmNg	toffee
qSD4IBK27Zg	toenail
Iji2l3tYxHc	today
lJsUQT5Ztv8	toaster
r9DiSHym81k	tired, exhausted, fatigued
Nb8uJ822Tig	tinda, Indian squash, apple gourd (sign 2)
F7s5GtLbtGE	tinda, Indian squash, apple gourd (sign 1)
tD_WEFLyuDY	Toyota
Mx_mNhBhWx0	toy
vvyGWPvy1cc	town (sign 2)
vYM_64Gc77o	town (sign 1)
vYM_64Gc77o	town (sign 1)
IRUYQfpLjhY	tornado
NZ2sunnoc7k	torch
Aeq2jo3tSdA	topic, subject, theme
97UeCMhqWxw	top (sign 2)
Yws2a_L3P5k	top (sign 1)
6BHgvzr83E8	toothpick
GH5LgcALHiM	tooth
U18qbyFJKnA	tootbrush
iLnDUh6SJSo	tonight
yNv7aFGlGFA	towel
UjkcbDkHvxY	touchscreen
7sR29KFzUog	touch
9NyNlhJnyng	tortoise
8I__oqg4_eE	total, aggregate, complete
Pj0MkbEahC8	toothpaste
0DYb-qL1t0A	tomorrow
D2Ayu0l7M78	tonic
s7Rg0qiQ1Fs	tongue
5PHRpx9Lqzc	tongs
f1g9b3SKHxk	travel agent
LjwZPYHjqds	Tripura (sign 1)
mkXoxeaRCRc	triple (sign 2)
DVe5knz8gh8	triple (sign 1)
6ij6_5cxcfk	trip, tour
59i-nVlaygI	triangle (sign 2)
KLpXMM5NiYQ	triangle (sign 1)
BEBfzPkE3EY	tree (sign 2)
Py2RBS-e9Xg	tree (sign 1)
4-d6EGJjZNk	travel
nZC6NXo3SAc	truck (sign 1)
eKHR8uZXbHE	tyre
prejlBZJFWo	typist
ylCAApFrP88	two days before
ANfL9O6wy4Y	two days after
-It9bwqowig	Twitter (sign 2)
UORRNKMTusE	Twitter (sign 1)
pxjiTt5uiQo	twin (sign 2)
nN5836JqV6o	twin (sign 1)
J81k9pkL1tg	TVS Bike
xMaMOHTmML4	turn
k5dRhEhUEQ0	Turkey
v_7Bg4-cPjg	Tunisia
YMsS8QIdWM0	Tuesday (sign 2)
7R_b_tfp5lM	Tuesday (sign 1)
4Vj5NM9KRzY	tuberculosis
ZxL9a3whvvo	tubelight
PqOEUuH2gj4	try (sign 2)
PK4bvgOLUWs	try (sign 1)
LSrto7ULuac	trust
IhUPDOGqMaw	true, genuine, real
zhKQnsHLNeA	truck (sign 2)
63NSXGtnLNQ	science
OvDIlDiFmnU	school
-1AseGWh7vU	school uniform
JHh44ooGaY4	school bag
rxLiUBQv4s4	schedule
jzoSaQe5fdU	scent, perfume
3Eq8FeSFJpY	scan
tt4b-WhpGQo	Saudi Arabia
v1TI57zaJKw	ketchup, sauce
Eni6gYBX_-g	Saturday
z_Tnhup1J5I	satisfied
